_id,archived,contentUrl,datetime,deleted,id,location.coordinates,location.type,markerColor.rgbFill,markerColor.rgbOutline,markerColors.rgbFill,markerColors.rgbOutline,position.lat,position.lng,posttime,snippetImage,snippetText,tags,title,userId
robbearman/20191229210035387,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20191229210035387.html,2019-12-28T20:50:00.000Z,false,robbearman/20191229210035387,"[-122.504883,37.741897]",Point,,,null,null,37.741897,-122.504883,2019-12-29T21:00:35.387Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20191229210035387/1.jpg,"Dave and I drove across town toward the Great Highway after our walk from Tank Hill, and had a taco lunch at Underdogs Too, a place he'd been previously with his daughters. We both ordered a ""Nick's Way"" with carne asada and accompanying chips and salsa. Many a ""not bad"" was spoken, but often not heard for the crowd noise during a busy Saturday lunch hour.","[""California"",""Restaurants"",""San Francisco"",""Tank Hill"",""United States"",""Views""]",Underdogs Too,robbearman
robbearman/20200115173728069,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20200115173728069.html,2020-01-12T18:30:00.000Z,false,robbearman/20200115173728069,"[-122.041131,36.9661]",Point,,,null,null,36.9661,-122.041131,2020-01-15T17:37:28.069Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20200115173728069/1.jpg,"Lazy January Sunday morning with Jacob and Dave, tossing the ball around on the beach, followed by lunch at Mission St. BBQ. This was Dave's long awaited first visit and he proclaimed the brisket sandwich to be quite excellent. We all marveled at our good fortune in having a sunny beach day in January, except for Jacob who still longs for the gray drudgery of Seattle. Poor boy.","[""Beaches"",""California"",""Exploring the World"",""Restaurants"",""Santa Cruz"",""United States""]",Sunday in Santa Cruz with Jacob and Dave,robbearman
compassburlingame/20200101171938489,false,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/html/20200101171938489.html,2020-01-01T17:19:00.000Z,false,compassburlingame/20200101171938489,"[-122.385813,37.588217]",Point,,,null,null,37.588217,-122.385813,2020-01-01T17:19:38.489Z,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/images/20200101171938489/1.jpg,"Burlingame Intermediate School, or BIS as it's known, is rated above average in school quality compared to other schools in California. Students here perform above average on state tests, are making above average year-over-year academic improvement.","[""Burlingame"",""California"",""Real Estate Demo"",""Schools"",""United States""]",Burlingame Intermediate School,compassburlingame
robbearman/20200208170034548,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20200208170034548.html,2020-02-04T16:20:00.000Z,false,robbearman/20200208170034548,"[-109.892711,22.877919]",Point,,,null,null,22.877919,-109.892711,2020-02-08T17:00:34.548Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20200208170034548/1.jpg,"We took an Uber into Cabo San Lucas on our third day for a whale watching tour that Mia had reserved without my knowing. Mia sets these things up despite knowing I’ll grumble and complain, then go and enjoy, and later claim ownership for the whole idea to begin with. She suffers silently as do all saints.","[""Baja California"",""Baja California Sur"",""Cabo San Lucas"",""Exploring the World"",""Mexico"",""Ocean"",""Views"",""Whales""]",Baja Boat Ride,robbearman
robbearman/20191229183514790,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20191229183514790.html,2019-12-28T18:50:00.000Z,false,robbearman/20191229183514790,"[-122.451864,37.762799]",Point,,,null,null,37.762799,-122.451864,2019-12-29T18:35:14.790Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20191229183514790/1.jpg,"Along our walk from Tank Hill, we passed by Grattan Playground in a pretty Cole Valley neighborhood.","[""California"",""Cole Valley"",""Exploring the World"",""Parks"",""San Francisco"",""Tank Hill"",""United States"",""Views""]",Grattan Playground,robbearman
nytimes/201912081200,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/whiteislandvolcano.html,2019-12-08T08:12:00.000Z,false,nytimes/201912081200,"[177.179376,-37.521953]",Point,,,null,null,-37.521953,177.179376,2019-12-08T00:12:00.000Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/whiteislandvolcano/1.jpg,"Five people have been confirmed dead, and more are missing, after the eruption on White Island, which is popular with tourists.","[""Exploring the World"",""News"",""New Zealand"",""Volcanoes"",""White Island""]","New Zealand Volcano Erupts, and Police See ‘No Signs of Life’",nytimes
davemichaels/20200123173559812,false,accounts/us-east-1:6d72d8d7-fe48-424b-b76b-fa040471a8a0/html/20200123173559812.html,2020-01-21T20:00:00.000Z,false,davemichaels/20200123173559812,"[-122.400667,37.784327]",Point,,,null,null,37.784327,-122.400667,2020-01-23T17:35:59.812Z,accounts/us-east-1:6d72d8d7-fe48-424b-b76b-fa040471a8a0/images/20200123173559812/1.jpg,Long but satisfying day working the SF Fancy Food Show for my new company Sweet Nothings! Check us out at www.eatsweetnothings.com and order your 15 cup variety pack!!,"[""California"",""Moscone Center"",""San Francisco"",""Sweet Nothings"",""United States""]",SF Fancy Food Show,davemichaels
robbearman/20200130023207697,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20200130023207697.html,2020-01-30T02:30:00.000Z,false,robbearman/20200130023207697,"[-122.413703,37.80806]",Point,,,null,null,37.80806,-122.413703,2020-01-30T02:32:07.697Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20200130023207697/1.jpg,"Popular Louisiana fried chicken chain, Krispy Krunchy Chicken, has opened a storefront in Fisherman’s Wharf, its second in San Francisco.","[""California"",""Fried Chicken"",""Restaurants"",""San Francisco"",""United States""]",Louisiana-based fried chicken chain opens new outpost at Fisherman’s Wharf,robbearman
robbearman/20191229190005801,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20191229190005801.html,2019-12-28T19:15:00.000Z,false,robbearman/20191229190005801,"[-122.454871,37.767381]",Point,,,null,null,37.767381,-122.454871,2019-12-29T19:00:05.801Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20191229190005801/1.jpg,"Kezar Stadium invokes a Norse Gods-like black-and-white nostalgia in Dave and me. ""Remember the 1970 NFL Championship Game?"" I asked. ""Niners and Cowboys. Last game they played at Kezar.""","[""California"",""Exploring the World"",""Kezar Stadium"",""Parks"",""San Francisco"",""Tank Hill"",""United States"",""Views""]",Kezar Stadium,robbearman
robbearman/20200208003458507,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20200208003458507.html,2020-02-02T22:30:00.000Z,false,robbearman/20200208003458507,"[-109.757194,22.985864]",Point,,,null,null,22.985864,-109.757194,2020-02-08T00:34:58.507Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20200208003458507/1.jpg,"Let’s meet up in Cabo, she said. So I put on my traveler superpower cape and got on the plane, and headed down to the southermost tip of Baja California. No whining. No complaining. Really truly.","[""Baja California"",""Baja California Sur"",""Beaches"",""Exploring the World"",""Mexico"",""Ocean"",""Resorts"",""Vacations"",""Views""]",Marquis Los Cabos,robbearman
robbearman/20191227002122909,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20191227002122909.html,2019-12-26T19:30:00.000Z,false,robbearman/20191227002122909,"[-121.996509,36.961463]",Point,,,null,null,36.961463,-121.996509,2019-12-27T00:21:22.909Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20191227002122909/1.jpg,"A walk along the Santa Cruz Harbor, Twin Lakes Beach, and the Walton Lighthouse, followed by lunch with my favorite people.","[""Beaches"",""California"",""Christmas"",""Exploring the World"",""Santa Cruz"",""United States""]",Boxing Day at the Beach,robbearman
nytimes/20200218185710055,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/20200218185710055.html,2020-02-18T16:00:00.000Z,false,nytimes/20200218185710055,"[-77.428519,37.536571]",Point,,,null,null,37.536571,-77.428519,2020-02-18T18:57:10.055Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/20200218185710055/1.jpg,"Formerly the site of Lumpkin’s Jail, where the slave trader Robert Lumpkin began operating his business in the mid-1840s, this spot is one of 20 that make up the Richmond Slave Trail.","[""1619 Project"",""History"",""News"",""Richmond"",""Slavery"",""They Sold Human Beings Here"",""United States"",""Virginia""]","Richmond-Petersburg Turnpike, Richmond, Va. Marked",nytimes
robbearman/20200224004818261,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20200224004818261.html,2020-02-22T18:18:00.000Z,false,robbearman/20200224004818261,"[-122.486123,37.859041]",Point,,,null,null,37.859041,-122.486123,2020-02-24T00:48:18.261Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20200224004818261/1.jpg,"While Google promised a cool, sunny, but calm morning, the reality was strong winds in Sausalito. So I got out of the car, pushed my hat firmly down on my head, zipped up my jacket, and went to see what I could see. Maybe even something new.","[""California"",""Exploring the World"",""San Francisco Bay"",""Sausalito"",""United States"",""Views""]",Adventures in Sausalito,robbearman
compassburlingame/20200101205702108,false,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/html/20200101205702108.html,2020-01-01T18:00:30.000Z,false,compassburlingame/20200101205702108,"[-122.349417,37.579263]",Point,,,null,null,37.579263,-122.349417,2020-01-01T20:57:02.108Z,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/images/20200101205702108/1.jpg,"The historic Burlingame Main Library is on Primrose Drive, just a step away from Burlingame Avenue.","[""Burlingame"",""California"",""Library"",""Real Estate Demo"",""United States""]",Burlingame Library,compassburlingame
compassburlingame/20200101192831891,false,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/html/20200101192831891.html,2020-01-01T17:50:00.000Z,false,compassburlingame/20200101192831891,"[-122.340646,37.580575]",Point,,,null,null,37.580575,-122.340646,2020-01-01T19:28:31.891Z,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/images/20200101192831891/1.jpg,"Washington Elementary School is rated above average in school quality compared to other schools in California. Students here perform above average on state tests, are making above average year-over-year academic improvement.","[""Burlingame"",""California"",""Real Estate Demo"",""Schools"",""United States""]",Washington Elementary School,compassburlingame
compassburlingame/20200101194025614,false,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/html/20200101194025614.html,2020-01-01T18:00:00.000Z,false,compassburlingame/20200101194025614,"[-122.346857,37.582214]",Point,,,null,null,37.582214,-122.346857,2020-01-01T19:40:25.614Z,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/images/20200101194025614/1.jpg,"Burlingame High School serves the 30,000 residents of the city of Burlingame and is a California Distinguished School. It was established in 1923 as part of the San Mateo Union High School District. The high school has been recognized nationally for its academic excellence.","[""Burlingame"",""California"",""Real Estate Demo"",""Schools"",""United States""]",Burlingame High School,compassburlingame
robbearman/201808312230,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/heavenly.html,2018-08-31T22:30:00.000Z,false,robbearman/201808312230,"[-119.918955,38.940195]",Point,,,null,null,38.940195,-119.918955,2019-12-04T15:31:00.000Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/heavenly/1.jpg,"I decided the fifty-dollar gondola ride up to the top of the Heavenly ski runs wasn't worth the price, so I stayed down in the resort and read a book while Mia took the trip. After she returned with these pictures, I decided she was right after all.","[""California"",""Exploring the World"",""Heavenly"",""Lakes"",""Lake Tahoe"",""Mountains"",""Sierras"",""United States"",""Views""]",Heavenly,robbearman
nytimes/20200218182314908,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/20200218182314908.html,2020-02-18T16:00:00.000Z,false,nytimes/20200218182314908,"[-78.453199,38.008723]",Point,,,null,null,38.008723,-78.453199,2020-02-18T18:23:14.908Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/20200218182314908/1.jpg,"After Thomas Jefferson’s death, his estate sold 133 of his enslaved workers at two different auctions. The first took place in 1827, most likely on or near the West Portico steps of Monticello; the second in 1829 at a hotel called the Eagle Tavern, in downtown Charlottesville. Today these auctions are noted in an exhibition on the grounds, but not in the city.","[""1619 Project"",""Charlottesville"",""History"",""Monticello"",""News"",""Slavery"",""They Sold Human Beings Here"",""United States"",""Virginia""]","Monticello, Charlottesville, Va. Marked",nytimes
robbearman/201911301530,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/alcatrazoccupation.html,2019-11-30T15:30:00.000Z,false,robbearman/201911301530,"[-122.423021,37.826694]",Point,,,null,null,37.826694,-122.423021,2019-11-30T15:30:00.000Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/alcatrazoccupation/1.jpg,"By Gary Kamiya, San Francisco Chronicle: The previous Portals told the story of how 78 Native Americans, most of them college students, sailed to the former federal prison on Alcatraz Island on Nov. 20, 1969, disembarked and claimed it. Calling themselves “Indians of All Tribes,” they prepared to hold the island until their demands were met.","[""Alcatraz"",""California"",""Exploring the World"",""History"",""San Francisco"",""San Francisco Chronicle"",""United States""]",How the Native American occupation of Alcatraz turned sour,robbearman
cnn/20200225001159933,false,accounts/us-east-1:f502a666-1b70-499f-95c3-9a29dbfff49d/html/20200225001159933.html,2019-08-19T16:00:00.000Z,false,cnn/20200225001159933,"[-56.013017,73.200343]",Point,,,null,null,73.200343,-56.013017,2020-02-25T00:11:59.933Z,accounts/us-east-1:f502a666-1b70-499f-95c3-9a29dbfff49d/images/20200225001159933/1.jpg,"Greenland lost 12.5 billion tons of ice to melting on August 2, the largest single-day loss in recorded history and another stark reminder of the climate crisis.","[""Exploring the World"",""News"",""Climate Change"",""Global Warming"",""Greenland"",""Videos"",""YouTube""]",Scientists find troubling signs under Greenland glacier,cnn
robbearman/20200119164709661,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20200119164709661.html,2020-01-19T20:30:00.000Z,false,robbearman/20200119164709661,"[-122.434802,37.792247]",Point,,,null,null,37.792247,-122.434802,2020-01-19T16:47:09.661Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20200119164709661/1.jpg,"If I were to have pets again after Cassie's death, I thought it would be best to get two cats rather than one. Amy did that with her rescue kittens, and they keep each other company when alone in the apartment. I thought about the times I traveled for a week or more and left Cassie alone. In retrospect, it feels cruel.","[""Blogs"",""California"",""Cats"",""United States""]",Cat thoughts,robbearman
nytimes/20200218190230276,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/20200218190230276.html,2020-02-18T16:00:00.000Z,false,nytimes/20200218190230276,"[-83.628077,32.837698]",Point,,,null,null,32.837698,-83.628077,2020-02-18T19:02:30.276Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/20200218190230276/1.jpg,"In the 19th century, enslaved people were sold from the slave pen of James Dean, a major slave trader on Cotton Avenue. In 1956, this Confederate statue was moved to one end of the street.","[""1619 Project"",""Georgia"",""History"",""Macon"",""News"",""Slavery"",""They Sold Human Beings Here"",""United States""]","Cotton Avenue, Macon Unmarked",nytimes
compassburlingame/20200101164845934,false,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/html/20200101164845934.html,2020-01-01T16:00:00.000Z,false,compassburlingame/20200101164845934,"[-122.357113,37.578617]",Point,"rgb(128,0,128)","rgb(255,255,255)",800080,FFFFFF,37.578617,-122.357113,2020-01-01T16:48:45.934Z,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/images/20200101164845934/1.jpg,"Presenting this fresh contemporary condo in the Burlingame Park neighborhood. Abundant natural light highlights this 2 bedroom /1 bathroom home plus cozy Sun-room. Excellent floorplan with in-unit washer/dryer and an updated kitchen with white cabinetry, white appliances & granite counters. Wood burning fireplace in the living-room and crown moldings throughout. Outdoor entertaining at the complex pool / spa. Excellent Burlingame schools. Easy walk to Downtown Burlingame shops, Library & CalTrain. This one won't last long...Opportunity knocks!","[""Burlingame"",""California"",""Real Estate"",""Real Estate Demo"",""United States""]",735 El Camino Real,compassburlingame
robbearman/20191229184547599,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20191229184547599.html,2019-12-28T19:00:00.000Z,false,robbearman/20191229184547599,"[-122.453186,37.767517]",Point,,,null,null,37.767517,-122.453186,2019-12-29T18:45:47.599Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20191229184547599/1.jpg,"Dave was peering ahead to see if Kezar Pavilion was open. ""You've got to see this,"" he said. ""It's straight out of Hoosiers."" The doors were open. We stepped into 1955.","[""California"",""Exploring the World"",""Kezar Pavilion"",""Parks"",""San Francisco"",""Tank Hill"",""United States"",""Views""]",Kezar Pavilion,robbearman
nytimes/201912070804,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/brexit-4.html,2019-12-07T08:04:00.000Z,false,nytimes/201912070804,"[-3.883003,51.938776]",Point,,,null,null,51.938776,-3.883003,2019-12-07T08:04:00.000Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/brexit-4/1.jpg,"Part 4: We turned left at the pink pub, through the mist, then up into the Welsh mountains. Down a track to the right stood the Davies’s farm. Ceri Davies was in the barn behind the house, checking the renovations.","[""Brexit"",""Britain"",""Exploring the World"",""Journey Through Brexit"",""Llangadog"",""UK"",""Wales""]",Splintered Isle: From Lambing to ‘Glamping’,nytimes
nytimes/201912070805,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/brexit-5.html,2019-12-07T08:05:00.000Z,false,nytimes/201912070805,"[-6.131792,54.033923]",Point,,,null,null,54.033923,-6.131792,2019-12-07T08:05:00.000Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/brexit-5/1.jpg,"Part 5: The ferry slid from the Liverpool docks, past the red cranes and into the Irish Sea. Outside, the waves were gentle. In the canteen, passengers were seething.","[""Brexit"",""Britain"",""Carlingford Lough"",""Exploring the World"",""Journey Through Brexit"",""Northern Ireland"",""UK""]","Splintered Isle: ‘A Big, Big Betrayal’",nytimes
nytimes/201912070803,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/brexit-3.html,2019-12-07T08:03:00.000Z,false,nytimes/201912070803,"[-0.087789,51.507848]",Point,,,null,null,51.507848,-0.087789,2019-12-07T08:03:00.000Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/brexit-3/1.jpg,"Part 3: In London, at a rabbinical school in a 300-year-old manor house, I had lunch with Laura Janner-Klausner, the most senior rabbi in British Reform Judaism.","[""Brexit"",""Britain"",""England"",""Exploring the World"",""Journey Through Brexit"",""London"",""UK""]",Splintered Isle: London,nytimes
nytimes/20200218184414045,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/20200218184414045.html,2020-02-18T16:00:00.000Z,false,nytimes/20200218184414045,"[-90.065736,29.956287]",Point,,,null,null,29.956287,-90.065736,2020-02-18T18:44:14.045Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/20200218184414045/1.jpg,"Today this is the site of the Omni Royal Orleans Hotel, but in the 1800s, it was the site of the St. Louis Hotel & Exchange, where slave auctions were held under its rotunda.","[""1619 Project"",""History"",""Louisiana"",""New Orleans"",""News"",""Slavery"",""They Sold Human Beings Here"",""United States""]","621 St. Louis Street, New Orleans Marked",nytimes
robbearman/20200224010847972,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20200224010847972.html,2020-02-22T19:00:00.000Z,false,robbearman/20200224010847972,"[-122.475272,37.833858]",Point,,,null,null,37.833858,-122.475272,2020-02-24T01:08:47.972Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20200224010847972/1.jpg,"I walked from Bridgeway to 2nd St to Alexander Ave, up the hill past all the tourist cars and bikes heading downhill into Sausalito, and then branched off to East Rd. on my way to Fort Baker.","[""California"",""Bay Area Discovery Museum"",""Exploring the World"",""Fort Baker"",""San Francisco Bay"",""Sausalito"",""United States"",""Views""]",Fort Baker Walk,robbearman
compassburlingame/20200101203627877,false,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/html/20200101203627877.html,2020-01-01T18:00:20.000Z,false,compassburlingame/20200101203627877,"[-122.345181,37.579905]",Point,,,null,null,37.579905,-122.345181,2020-01-01T20:36:27.877Z,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/images/20200101203627877/1.jpg,"The historical Burlingame Train Depot provides service from Caltrain. The station underwent a $13 million upgrade project in 2007, which included platform reconfiguration and the installation of several new mission-style shelters and period appropriate plantings.","[""Burlingame"",""California"",""Real Estate Demo"",""Transit"",""United States""]",Burlingame Station,compassburlingame
